Data used for the WHO UNICEF coverage estimates 2024 revision (completed July 2025),,,,,,,,,,,,,
ISO3,surveyNameEnglish,surveyNameProduction,collectBegin,collectEnd,cohortYear,vaccine,evidence,cardsSeen,validity,ageVaccination,ageInterview,coverage,denominator
NGA,Nigeria National Immunization Coverage Survey 2003,Nigeria National Immunization Coverage Survey 2003,2003-98,2003-98,2002,BCG,Record or Recall,28.4,CRUDE,0-23 m,12-23 m,29.3,40777
NGA,Nigeria National Immunization Coverage Survey 2003,Nigeria National Immunization Coverage Survey 2003,2003-98,2003-98,2002,DTP1,Record or Recall,28.4,CRUDE,0-23 m,12-23 m,43.2,40777
NGA,Nigeria National Immunization Coverage Survey 2003,Nigeria National Immunization Coverage Survey 2003,2003-98,2003-98,2002,DTP3,Record or Recall,28.4,CRUDE,0-23 m,12-23 m,24.8,40777
NGA,Nigeria National Immunization Coverage Survey 2003,Nigeria National Immunization Coverage Survey 2003,2003-98,2003-98,2002,FULL,Record or Recall,28.4,CRUDE,0-23 m,12-23 m,16.2,40777
NGA,Nigeria National Immunization Coverage Survey 2003,Nigeria National Immunization Coverage Survey 2003,2003-98,2003-98,2002,MCV1,Record or Recall,28.4,CRUDE,0-23 m,12-23 m,25.3,40777
NGA,Nigeria National Immunization Coverage Survey 2003,Nigeria National Immunization Coverage Survey 2003,2003-98,2003-98,2002,PAB,Record or Recall,,CRUDE,,CBAW,7.1,40777
NGA,Nigeria National Immunization Coverage Survey 2003,Nigeria National Immunization Coverage Survey 2003,2003-98,2003-98,2002,POL1,Record or Recall,28.4,CRUDE,0-23 m,12-23 m,63,40777
NGA,Nigeria National Immunization Coverage Survey 2003,Nigeria National Immunization Coverage Survey 2003,2003-98,2003-98,2002,POL3,Record or Recall,28.4,CRUDE,0-23 m,12-23 m,38.6,40777
NGA,Nigeria National Immunization Coverage Survey (2006),Nigeria National Immunization Coverage Survey (2006),2006-10,2006-10,2005,BCG,Record,49.5,CRUDE,0-23 m,12-23 m,54.5,23414
NGA,Nigeria National Immunization Coverage Survey (2006),Nigeria National Immunization Coverage Survey (2006),2006-10,2006-10,2005,BCG,Record or Recall,49.5,CRUDE,0-23 m,12-23 m,68.6,23414
NGA,Nigeria National Immunization Coverage Survey (2006),Nigeria National Immunization Coverage Survey (2006),2006-10,2006-10,2005,DTP1,Record,49.5,CRUDE,0-23 m,12-23 m,36.1,23414
NGA,Nigeria National Immunization Coverage Survey (2006),Nigeria National Immunization Coverage Survey (2006),2006-10,2006-10,2005,DTP1,Record or Recall,49.5,CRUDE,0-23 m,12-23 m,71.7,23414
NGA,Nigeria National Immunization Coverage Survey (2006),Nigeria National Immunization Coverage Survey (2006),2006-10,2006-10,2005,DTP3,Record,49.5,CRUDE,0-23 m,12-23 m,25.7,23414
